GISJOIN,YEAR,COUNTY,POPULATION
G0600750,1950,San Francisco,775357
G0600770,1950,San Joaquin,200750
G0600790,1950,San Luis Obispo,51417
G0600810,1950,San Mateo,235659
G0600830,1950,Santa Barbara,98220
G0600850,1950,Santa Clara,290547
G0600870,1950,Santa Cruz,66534
G0600890,1950,Shasta,36413
G0600910,1950,Sierra,2410
G0600930,1950,Siskiyou,30733
G0600950,1950,Solano,104833
G0600970,1950,Sonoma,103405
G0600990,1950,Stanislaus,127231
G0601010,1950,Sutter,26239
G0601030,1950,Tehama,19276
G0601050,1950,Trinity,5087
G0601070,1950,Tulare,149264
G0601090,1950,Tuolumne,12584
G0601110,1950,Ventura,114647
G0601130,1950,Yolo,40640
G0601150,1950,Yuba,24420
G0800010,1950,Adams,40234
G0800030,1950,Alamosa,10531
G0800050,1950,Arapahoe,52125
G0800070,1950,Archuleta,3030
G0800090,1950,Baca,7964
G0800110,1950,Bent,8775
G0800130,1950,Boulder,48296
G0800150,1950,Chaffee,7168
G0800170,1950,Cheyenne,3453
G0800190,1950,Clear Creek,3289
G0800210,1950,Conejos,10171
G0800230,1950,Costilla,6067
G0800250,1950,Crowley,5222
G0800270,1950,Custer,1573
G0800290,1950,Delta,17365
G0800310,1950,Denver,415786
G0800330,1950,Dolores,1966
G0800350,1950,Douglas,3507
G0800370,1950,Eagle,4488
G0800390,1950,Elbert,4477
G0800410,1950,El Paso,74523
G0800430,1950,Fremont,18366
G0800450,1950,Garfield,11625
G0800470,1950,Gilpin,850
G0800490,1950,Grand,3963
G0800510,1950,Gunnison,5716
G0800530,1950,Hinsdale,263
G0800550,1950,Huerfano,10549
G0800570,1950,Jackson,1976
G0800590,1950,Jefferson,55687
G0800610,1950,Kiowa,3003
G0800630,1950,Kit Carson,8600
G0800650,1950,Lake,6150
G0800670,1950,La Plata,14880
G0800690,1950,Larimer,43554
G0800710,1950,Las Animas,25902
G0800730,1950,Lincoln,5909
G0800750,1950,Logan,17187
G0800770,1950,Mesa,38974
G0800790,1950,Mineral,698
G0800810,1950,Moffat,5946
G0800830,1950,Montezuma,9991
G0800850,1950,Montrose,15220
G0800870,1950,Morgan,18074
G0800890,1950,Otero,25275
G0800910,1950,Ouray,2103
G0800930,1950,Park,1870
G0800950,1950,Phillips,4924
G0800970,1950,Pitkin,1646
G0800990,1950,Prowers,14836
G0801010,1950,Pueblo,90188
G0801030,1950,Rio Blanco,4719
G0801050,1950,Rio Grande,12832
G0801070,1950,Routt,8940
G0801090,1950,Saguache,5664
G0801110,1950,San Juan,1471
G0801130,1950,San Miguel,2693
G0801150,1950,Sedgwick,5095
G0801170,1950,Summit,1135
G0801190,1950,Teller,2754
G0801210,1950,Washington,7520
G0801230,1950,Weld,67504
G0801250,1950,Yuma,10827
G0900010,1950,Fairfield,504342
G0900030,1950,Hartford,539661
G0900050,1950,Litchfield,98872
G0900070,1950,Middlesex,67332
G0900090,1950,New Haven,545784
G0900110,1950,New London,144821
G0900130,1950,Tolland,44709
G0900150,1950,Windham,61759
G1000010,1950,Kent,37870
G1000030,1950,New Castle,218879
G1000050,1950,Sussex,61336
G1100010,1950,District Of Columbia,802178
G1200010,1950,Alachua,57026
G1200030,1950,Baker,6313
G1200050,1950,Bay,42689
G1200070,1950,Bradford,11457
G1200090,1950,Brevard,23653
G1200110,1950,Broward,83933
G1200130,1950,Calhoun,7922
G1200150,1950,Charlotte,4286
G1200170,1950,Citrus,6111
G1200190,1950,Clay,14323
G1200210,1950,Collier,6488
G1200230,1950,Columbia,18216
G1200250,1950,Dade,495084
G1200270,1950,DeSoto,9242
G1200290,1950,Dixie,3928
G1200310,1950,Duval,304029
G1200330,1950,Escambia,112706
G1200350,1950,Flagler,3367
G1200370,1950,Franklin,5814
G1200390,1950,Gadsden,36457
G1200410,1950,Gilchrist,3499
G1200430,1950,Glades,2199
G1200450,1950,Gulf,7460
G1200470,1950,Hamilton,8981
G1200490,1950,Hardee,10073
G1200510,1950,Hendry,6051
G1200530,1950,Hernando,6693
G1200550,1950,Highlands,13636
G1200570,1950,Hillsborough,249894
G1200590,1950,Holmes,13988
G1200610,1950,Indian River,11872
G1200630,1950,Jackson,34645
G1200650,1950,Jefferson,10413
G1200670,1950,Lafayette,3440
G1200690,1950,Lake,36340
G1200710,1950,Lee,23404
G1200730,1950,Leon,51590
G1200750,1950,Levy,10637
G1200770,1950,Liberty,3182
G1200790,1950,Madison,14197
G1200810,1950,Manatee,34704
G1200830,1950,Marion,38187
G1200850,1950,Martin,7807
G1200870,1950,Monroe,29957
G1200890,1950,Nassau,12811
G1200910,1950,Okaloosa,27533
G1200930,1950,Okeechobee,3454
G1200950,1950,Orange,114950
G1200970,1950,Osceola,11406
G1200990,1950,Palm Beach,114688
G1201010,1950,Pasco,20529
G1201030,1950,Pinellas,159249
G1201050,1950,Polk,123997
G1201070,1950,Putnam,23615
G1201090,1950,St Johns,24998
G1201110,1950,St Lucie,20180
G1201130,1950,Santa Rosa,18554
G1201150,1950,Sarasota,28827
G1201170,1950,Seminole,26883
G1201190,1950,Sumter,11330
G1201210,1950,Suwannee,16986
G1201230,1950,Taylor,10416
G1201250,1950,Union,8906
G1201270,1950,Volusia,74229
G1201290,1950,Wakulla,5258
G1201310,1950,Walton,14725
G1201330,1950,Washington,11888
G1300010,1950,Appling,14003
G1300030,1950,Atkinson,7362
G1300050,1950,Bacon,8940
G1300070,1950,Baker,5952
G1300090,1950,Baldwin,29706
G1300110,1950,Banks,6935
G1300130,1950,Barrow,13115
G1300150,1950,Bartow,27370
G1300170,1950,Ben Hill,14879
G1300190,1950,Berrien,13966
G1300210,1950,Bibb,114079
G1300230,1950,Bleckley,9218
G1300250,1950,Brantley,6387
G1300270,1950,Brooks,18169
G1300290,1950,Bryan,5965
G1300310,1950,Bulloch,24740
G1300330,1950,Burke,23458
G1300350,1950,Butts,9079
G1300370,1950,Calhoun,8578
G1300390,1950,Camden,7322
G1300430,1950,Candler,8063
G1300450,1950,Carroll,34112
G1300470,1950,Catoosa,15146
G1300490,1950,Charlton,4821
G1300510,1950,Chatham,151481
G1300530,1950,Chattahoochee,12149
G1300550,1950,Chattooga,21197
G1300570,1950,Cherokee,20750
G1300590,1950,Clarke,36550
G1300610,1950,Clay,5844
G1300630,1950,Clayton,22872
G1300650,1950,Clinch,6007
G1300670,1950,Cobb,61830
G1300690,1950,Coffee,23961
G1300710,1950,Colquitt,33999
G1300730,1950,Columbia,9525
G1300750,1950,Cook,12201
G1300770,1950,Coweta,27786
G1300790,1950,Crawford,6080
G1300810,1950,Crisp,17663
G1300830,1950,Dade,7364
G1300850,1950,Dawson,3712
G1300870,1950,Decatur,23620
G1300890,1950,DeKalb,136395
G1300910,1950,Dodge,17865
G1300930,1950,Dooly,14159
G1300950,1950,Dougherty,43617
G1300970,1950,Douglas,12173
G1300990,1950,Early,17413
G1301010,1950,Echols,2494
G1301030,1950,Effingham,9133
G1301050,1950,Elbert,18585
G1301070,1950,Emanuel,19789
G1301090,1950,Evans,6653
G1301110,1950,Fannin,15192
G1301130,1950,Fayette,7978
G1301150,1950,Floyd,62899
G1301170,1950,Forsyth,11005
G1301190,1950,Franklin,14446
G1301210,1950,Fulton,473572
G1301230,1950,Gilmer,9963
G1301250,1950,Glascock,3579
G1301270,1950,Glynn,29046
G1301290,1950,Gordon,18922
G1301310,1950,Grady,18928
G1301330,1950,Greene,12843
G1301350,1950,Gwinnett,32320
G1301370,1950,Habersham,16553
G1301390,1950,Hall,40113
G1301410,1950,Hancock,11052
G1301430,1950,Haralson,14663
G1301450,1950,Harris,11265
G1301470,1950,Hart,14495
G1301490,1950,Heard,6975
G1301510,1950,Henry,15857
G1301530,1950,Houston,20964
G1301550,1950,Irwin,11973
G1301570,1950,Jackson,18997
G1301590,1950,Jasper,7473
G1301610,1950,Jeff Davis,9299
G1301630,1950,Jefferson,18855
G1301650,1950,Jenkins,10264
G1301670,1950,Johnson,9893
G1301690,1950,Jones,7538
G1301710,1950,Lamar,10242
G1301730,1950,Lanier,5151
G1301750,1950,Laurens,33123
G1301770,1950,Lee,6674
G1301790,1950,Liberty,8444
G1301810,1950,Lincoln,6462
G1301830,1950,Long,3598
G1301850,1950,Lowndes,35211
G1301870,1950,Lumpkin,6574
G1301890,1950,McDuffie,11443
G1301910,1950,McIntosh,6008
G1301930,1950,Macon,14213
G1301950,1950,Madison,12238
G1301970,1950,Marion,6521
G1301990,1950,Meriwether,21055
G1302010,1950,Miller,9023
G1302050,1950,Mitchell,22528
G1302070,1950,Monroe,10523
G1302090,1950,Montgomery,7901
G1302110,1950,Morgan,11899
G1302130,1950,Murray,10676
G1302150,1950,Muscogee,118028
G1302170,1950,Newton,20185
G1302190,1950,Oconee,7009
G1302210,1950,Oglethorpe,9958
G1302230,1950,Paulding,11752
G1302250,1950,Peach,11705
G1302270,1950,Pickens,8855
G1302290,1950,Pierce,11112
G1302310,1950,Pike,8459
G1302330,1950,Polk,30976
G1302350,1950,Pulaski,8808
G1302370,1950,Putnam,7731
G1302390,1950,Quitman,3015
G1302410,1950,Rabun,7424
G1302430,1950,Randolph,13804
G1302450,1950,Richmond,108876
G1302470,1950,Rockdale,8464
G1302490,1950,Schley,4036
G1302510,1950,Screven,18000
G1302530,1950,Seminole,7904
G1302550,1950,Spalding,31045
G1302570,1950,Stephens,16647
G1302590,1950,Stewart,9194
G1302610,1950,Sumter,24208
G1302630,1950,Talbot,7687
G1302650,1950,Taliaferro,4515
G1302670,1950,Tattnall,15939
G1302690,1950,Taylor,9113
G1302710,1950,Telfair,13221
G1302730,1950,Terrell,14314
G1302750,1950,Thomas,33932
G1302770,1950,Tift,22645
G1302790,1950,Toombs,17382
G1302810,1950,Towns,4803
G1302830,1950,Treutlen,6522
G1302850,1950,Troup,49841
G1302870,1950,Turner,10479
G1302890,1950,Twiggs,8308
G1302910,1950,Union,7318
G1302930,1950,Upson,25078
G1302950,1950,Walker,38198
G1302970,1950,Walton,20230
G1302990,1950,Ware,30289
G1303010,1950,Warren,8779
G1303030,1950,Washington,21012
G1303050,1950,Wayne,14248
G1303070,1950,Webster,4081
G1303090,1950,Wheeler,6712
G1303110,1950,White,5951
G1303130,1950,Whitfield,34432
G1303150,1950,Wilcox,10167
G1303170,1950,Wilkes,12388
G1303190,1950,Wilkinson,9781
G1303210,1950,Worth,19357
G1550015,1950,Hawaii,68350
G1550035,1950,Honolulu,353020
G1550075,1950,Kauai,29905
G1550095,1950,Maui,48519
G1600010,1950,Ada,70649
